Company,UNIT NUMBER,UNIT STATUS,CATEGORY,CATEGORY_CLASS_DESC,YEAR,MAKE,MODEL,IN SERVICE DATE,DISPOSAL DATE,Meter
Company C,00G420024,SCRAPPED,FORK,Material Handling Equipment,2000,CATERPILLAR,EC25,09/28/2017,04/08/2024,385
Company C,00G420025,IN SERVICE,FORK,Material Handling Equipment,2000,CATERPILLAR,EC25,09/28/2017,,30000
Company C,00G420026,SCRAPPED,FORK,Material Handling Equipment,2000,CATERPILLAR,EC25,09/28/2017,10/10/2024,1589
Company C,00H420021,SCRAPPED,PLTJCK-DELIV,Material Handling Equipment,2000,CATERPILLAR,NPV60,09/28/2017,05/08/2024,2758
Company C,00Q420022,SCRAPPED,SCRUB,Material Handling Equipment,2000,TENNANT,OTHER,09/28/2017,11/12/2024,791
Company C,00U516188,SCRAPPED,TRAILER-DRY,Trailer,2000,UTILITY,28,09/28/2017,03/22/2024,305238
Company C,00U541376,SCRAPPED,TRAILER-DRY,Trailer,2000,UTILITY,28,09/28/2017,03/22/2024,100
Company B,0103008S,SCRAPPED,LG-R-RAIL,Liftgate,2001,MAXON,BMR 5500,03/31/2001,07/10/2023,0
Company B,0106630,IN SERVICE,LG-R-RAIL,Liftgate,2006,MAXON,BMR 5500,05/02/2008,,0
Company A,0107100374,IN SERVICE,LG-R-RAIL,Liftgate,2007,MAXON,BMR 5500,03/01/2007,,0
Company B,0108127213,SCRAPPED,LG-R-RAIL,Liftgate,2008,MAXON,BMR 5500,04/04/2011,03/26/2021,0
Company B,0109147820,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,03/15/2011,,0
Company B,0109147822,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,03/15/2011,,0
Company B,0109147824,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,04/30/2009,,0
Company B,0109147827,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,04/30/2009,,0
Company B,0109147828,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,04/30/2009,,0
Company B,0109147829,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,12/31/2008,,0
Company B,0109147830,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,04/15/2009,,0
Company B,0109147832,IN SERVICE,LG-R-RAIL,Liftgate,2009,MAXON,BMR 5500,04/30/2009,,0
Company B,0110161632,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,0110161633,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,03/25/2010,,0
Company B,0110161634,SCRAPPED,LG-R-RAIL,Liftgate,2011,MAXON,BMR 5500,01/01/2011,06/27/2023,0
Company B,0110161636,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,03/30/2010,,0
Company B,0110161638,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,03/30/2010,,0
Company B,0110161639,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,03/30/2010,,0
Company B,0110161640,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,0110161644,SCRAPPED,LG-R-RAIL,Liftgate,2011,MAXON,BMR 5500,01/01/2011,06/27/2023,0
Company B,0110161646,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,03/25/2010,,0
Company B,0110161647,SCRAPPED,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,11/12/2024,0
Company B,0110161649,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,0110161650,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,0110161651,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,0110161652,IN SERVICE,LG-R-RAIL,Liftgate,2010,MAXON,BMR 5500,05/02/2008,,0
Company B,01888C9819,SCRAPPED,REEFER-UNIT,Refrigeration Unit,1998,THERMO KING,OTHER,05/31/2010,06/13/2023,0
